fecha;valor,
08/11/2017;7038,
09/11/2017;7038,
10/11/2017;6944,
11/11/2017;6383,
12/11/2017;6456,
13/11/2017;7032,
14/11/2017;6916,
15/11/2017;6973,
16/11/2017;7155,
17/11/2017;7083,
18/11/2017;6470,
19/11/2017;6356,
20/11/2017;7176,
21/11/2017;6883,653846
22/11/2017;0,
23/11/2017;0,
24/11/2017;0,
28/11/2017;0,
29/11/2017;0,
30/11/2017;0,
01/12/2017;0,
02/12/2017;0,
03/12/2017;8794,628986
04/12/2017;9538,709732
05/12/2017;0,
06/12/2017;0,
07/12/2017;0,
08/12/2017;0,
09/12/2017;8896,267852
10/12/2017;9133,425274
11/12/2017;9760,479115
12/12/2017;0,
13/12/2017;0,
14/12/2017;0,
15/12/2017;0,
16/12/2017;0,
17/12/2017;0,
18/12/2017;0,
19/12/2017;0,
20/12/2017;0,
21/12/2017;0,
22/12/2017;0,
23/12/2017;0,
24/12/2017;0,
25/12/2017;0,
26/12/2017;0,
27/12/2017;0,
28/12/2017;0,
29/12/2017;0,
30/12/2017;0,
31/12/2017;0,
01/01/2018;0,
02/01/2018;0,
03/01/2018;0,
04/01/2018;0,
05/01/2018;0,
06/01/2018;0,
07/01/2018;0,
08/01/2018;0,
09/01/2018;0,
10/01/2018;0,
11/01/2018;0,
12/01/2018;0,
13/01/2018;0,
14/01/2018;0,
15/01/2018;0,
16/01/2018;9416,5444
17/01/2018;9969,269879
18/01/2018;9919,864979
19/01/2018;10083,73643
20/01/2018;9131,901666
21/01/2018;9293,760014
22/01/2018;10143,51433
23/01/2018;10189,49139
24/01/2018;10091,93694
25/01/2018;10129,7096
26/01/2018;10154,66839
27/01/2018;9176,253268
28/01/2018;9144,239413
29/01/2018;10184,51914
30/01/2018;10248,66472
31/01/2018;10087,32452
01/02/2018;10123,69706
02/02/2018;10335,34021
03/02/2018;9169,6305
04/02/2018;9206,717953
05/02/2018;10256,90221
06/02/2018;10061,31685
07/02/2018;10013,80834
08/02/2018;10124,69262
09/02/2018;10087,2999
10/02/2018;9339,255417
11/02/2018;9284,671211
12/02/2018;10206,76006
13/02/2018;10173,80049
14/02/2018;9812,738062
15/02/2018;9885,384297
16/02/2018;9997,197352
17/02/2018;9117,783204
18/02/2018;8843,599569
19/02/2018;10136,64333
20/02/2018;10252,1723
21/02/2018;10182,45554
22/02/2018;10247,53892
23/02/2018;10174,49379
24/02/2018;9576,1145
25/02/2018;9346,161153
26/02/2018;10091,66384
27/02/2018;10150,1048
28/02/2018;10156,97362
01/03/2018;10168,78638
02/03/2018;10287,1527
03/03/2018;9526,815739
04/03/2018;9309,284057
05/03/2018;10031,57874
06/03/2018;10077,93254
07/03/2018;9887,672041
08/03/2018;9775,173253
09/03/2018;9844,868124
10/03/2018;9778,71348
11/03/2018;9077,627957
12/03/2018;10298,8705
13/03/2018;10012,41088
14/03/2018;9927,60223
15/03/2018;10095,89613
16/03/2018;9964,101979
17/03/2018;9450,186791
18/03/2018;9281,270232
19/03/2018;9930,743786
20/03/2018;9803,328823
21/03/2018;9805,21097
22/03/2018;9965,513836
23/03/2018;10010,2009
24/03/2018;9139,553916
25/03/2018;9424,892387
26/03/2018;10009,94464
27/03/2018;9803,593121
28/03/2018;9778,536414
29/03/2018;10170,2865
30/03/2018;9372,229493
