fecha;sistema;dmin_mw;dmax_mw,,
21/04/2006;SIC;3797,05;5862,82
21/04/2006;SING;1308,66;1446,36
22/04/2006;SIC;3848,57;5538,35
22/04/2006;SING;1298,57;1483,25
23/04/2006;SIC;3355,90;5202,43
23/04/2006;SING;1350,19;1551,43
24/04/2006;SIC;3584,90;6040,19
24/04/2006;SING;1432,81;1526,29
25/04/2006;SIC;3933,40;6058,88
25/04/2006;SING;1384,08;1490,96
26/04/2006;SIC;3917,30;5936,42
26/04/2006;SING;1355,02;1475,97
27/04/2006;SIC;3826,40;5923,56
27/04/2006;SING;1362,86;1465,48
28/04/2006;SIC;3839,80;5817,14
28/04/2006;SING;1365,20;1451,97
29/04/2006;SIC;3846,70;5360,24
29/04/2006;SING;1371,93;1463,28
30/04/2006;SIC;3291,20;4842,88
30/04/2006;SING;1237,04;1438,93
01/05/2006;SIC;3170,90;4821,75
01/05/2006;SING;1375,20;1599,10
02/05/2006;SIC;3548,10;5276,60
02/05/2006;SING;1430,85;1580,57
03/05/2006;SIC;3823,00;5259,30
03/05/2006;SING;1387,91;1518,53
04/05/2006;SIC;3816,20;5245,69
04/05/2006;SING;1434,49;1575,42
05/05/2006;SIC;3875,20;5454,58
05/05/2006;SING;1427,54;1621,84
06/05/2006;SIC;3873,00;5166,56
06/05/2006;SING;1484,96;1628,4
07/05/2006;SIC;3372,80;4863,81
07/05/2006;SING;1498,09;1638,62
08/05/2006;SIC;3452,50;5158,21
08/05/2006;SING;1491,64;1598,67
09/05/2006;SIC;3854,50;5323,57
09/05/2006;SING;1388,11;1563,99
10/05/2006;SIC;3846,10;5275,50
10/05/2006;SING;1415,23;1538,53
11/05/2006;SIC;3872,00;5307,20
11/05/2006;SING;1438,35;1547,44
12/05/2006;SIC;3843,90;5325,22
12/05/2006;SING;1460,93;1574,7
13/05/2006;SIC;3779,50;5032,21
13/05/2006;SING;1471,40;1590,17
14/05/2006;SIC;3354,80;4888,32
14/05/2006;SING;1452,89;1600,32
15/05/2006;SIC;3543,90;5478,28
15/05/2006;SING;1484,03;1589,51
16/05/2006;SIC;3831,68;5259,64
16/05/2006;SING;1408,56;1548,26
17/05/2006;SIC;3858,20;5202,76
17/05/2006;SING;1459,75;1543,92
18/05/2006;SIC;3837,00;5325,60
18/05/2006;SING;1460,64;1578,44
19/05/2006;SIC;3853,90;5498,20
19/05/2006;SING;1482,50;1606,6
20/05/2006;SIC;3865,00;5093,70
20/05/2006;SING;1488,47;1582,30
21/05/2006;SIC;3383,50;5022,48
21/05/2006;SING;1436,50;1633,15
22/05/2006;SIC;3566,70;5396,20
22/05/2006;SING;1499,72;1632,24
23/05/2006;SIC;3812,20;5377,50
