fecha;hidro;termo;ernc;total,,,,
01/07/2016;35854,3;106625,56;18676,14;161156,
02/07/2016;23655,5;103668,48;17574,02;144898,
03/07/2016;23373,6;96166,03;19244,37;138784,
04/07/2016;31332,6;107486,97;17516,43;156336,
05/07/2016;29868,2;111602,52;17805,28;159276,
06/07/2016;27551,2;106491,08;23422,72;157465,
07/07/2016;30351,2;109085,08;17380,72;156817,
08/07/2016;32433,2;104793,68;18381,12;155608,
09/07/2016;24523,2;105715,08;15882,72;146121,
10/07/2016;25224,2;96711,74;14417,06;136353,
11/07/2016;33947,6;104679,61;17633,79;156261,
12/07/2016;41882,6;99215,68;17842,72;158941,
13/07/2016;34496,6;104397,68;21482,72;160377,
14/07/2016;32573,6;103983,3;22252,1;158809,
15/07/2016;37279,6;100971,3;18341,1;156592,
16/07/2016;35275,6;88683,23;17551,17;141510,
17/07/2016;35464,6;85652,64;16424,76;137542,
18/07/2016;48722,6;90248,28;16686,12;155657,
19/07/2016;45655,6;97056,1;16571,3;159283,
20/07/2016;40705,6;95325,32;19635,08;155666,
21/07/2016;38559,6;98261,93;16498,47;153320,
22/07/2016;38916,6;99113,52;16890,88;154921,
23/07/2016;37026,6;95434,64;16045,76;148507,
24/07/2016;28332,6;93803,47;15591,93;137728,
25/07/2016;41205,6;95783,9;19444,5;156434,
26/07/2016;41140;95202,07;19762,93;156105,,
27/07/2016;52369;85438,16;16636,84;154444,,
28/07/2016;60082;78920,16;16635,84;155638,,
29/07/2016;65705;71756,16;17983,84;155445,,
30/07/2016;54678;71980,16;17362,84;144021,,
31/07/2016;53493;63369,04;17486,96;134349,,
01/08/2016;61617;70138,16;20834,84;152590,,
02/08/2016;49913;84604,16;17356,84;151874,,
03/08/2016;51366;83464,16;18688,84;153519,,
04/08/2016;46503;82940,16;20769,84;150213,,
05/08/2016;43762;87848,16;19609,84;151220,,
06/08/2016;32892;86272,16;21021,84;140186,,
07/08/2016;28887;78722,62;21361,38;128971,,
08/08/2016;39471;85263,16;22597,84;147332,,
09/08/2016;43201;87552,16;16939,84;147693,,
10/08/2016;52029;82216,16;16236,84;150482,,
11/08/2016;43034;88548,16;19231,84;150814,,
12/08/2016;41641;90384,16;18690,84;150716,,
13/08/2016;34209;85665,44;20237,56;140112,,
14/08/2016;27604,25;76229,31;20381,44;124215,
15/08/2016;30020;78763,21;20421,79;129205,,
16/08/2016;42068;86674,16;20449,84;149192,,
17/08/2016;46549;81419,8;21797,2;149766,,
18/08/2016;47679,4;76783,44;24602,16;149065,
19/08/2016;54952,8;68673,8;23263,4;146890,
20/08/2016;45531,8;68163,54;23520,66;137216,
21/08/2016;37854,3;68921,54;20241,16;127017,
22/08/2016;57175,8;70239,36;16647,84;144063,
23/08/2016;55641,8;80759,36;13563,84;149965,
24/08/2016;57489,8;78591,36;15439,84;151521,
25/08/2016;55177,8;79057,36;16816,84;151052,
26/08/2016;53791,8;78599,36;20505,84;152897,
27/08/2016;48641,8;73223,36;18275,84;140141,
28/08/2016;38861,8;71227,36;21692,84;131782,
29/08/2016;55081,05;72595,36;20409,59;148086,
30/08/2016;56628,8;72765,36;20341,84;149736,
31/08/2016;57477,8;71677,36;23995,84;153151,
01/09/2016;55222,8;72089,36;24653,84;151966,
02/09/2016;58996,8;68003,36;24238,84;151239,
03/09/2016;50852,8;69575,36;20280,84;140709,
04/09/2016;39358,8;72163,36;16666,84;128189,
05/09/2016;51972,4;78298,36;17393,24;147664,
06/09/2016;51142,4;79470,16;18757,44;149370,
07/09/2016;53345,4;80402,16;15938,44;149686,
08/09/2016;47805,4;83921,16;17066,44;148793,
09/09/2016;48749,4;78670,16;17731,44;145151,
10/09/2016;52773,4;68622,16;16827,44;138223,
11/09/2016;39464,4;71439,08;17404,52;128308,
12/09/2016;53821,4;71572,08;23714,52;149108,
13/09/2016;51089,65;73985,08;23347,27;148422,
14/09/2016;42726,4;88529,04;17032,56;148288,
15/09/2016;43395,4;88509,04;17843,56;149748,
16/09/2016;41276,4;85579,32;17330,28;144186,
17/09/2016;28927,8;80694,1;20642,1;130264,
18/09/2016;29077,8;66172,99;21521,21;116772,
19/09/2016;32015,8;69049,59;17387,61;118453,
20/09/2016;42175,8;83704,98;19325,22;145206,
21/09/2016;42175,8;85466,4;19115,8;146758,
22/09/2016;43348,2;81645,64;21597,16;146591,
23/09/2016;54769,2;74598,16;17065,64;146433,
24/09/2016;41297,2;76996,16;16280,64;134574,
25/09/2016;37125,2;74883,57;17050,23;129059,
26/09/2016;48856,1;74898,16;20687,74;144442,
27/09/2016;52653,4;74544,16;19284,44;146482,
28/09/2016;51607,5;72833,31;22338,19;146779,
29/09/2016;52013,1;76046,16;20660,74;148720,
30/09/2016;49248,6;75464,39;22760,01;147473,
01/10/2016;39013,5;75130,81;21877,69;136022,
02/10/2016;35381,6;68979,5;20479,9;124841,
03/10/2016;50085,7;74079,4;22946,9;147112,
09/10/2016;33989;65938,4;26102,6;126030,,
10/10/2016;33148,8;67847,43;24985,77;125982,
11/10/2016;49635,8;72451,69;24643,51;146731,
12/10/2016;52182,6;72245,84;24638,56;149067,
13/10/2016;54327,7;72415,84;23660,46;150404,
14/10/2016;49567,3;79056,52;21864,18;150488,
15/10/2016;39704,5;72889,2;25811,3;138405,
